# Orbital parameters time-series from Laskar et al., 2004. Time-step = 1kyr
# eccentricity    	precession (°)   	obliquity (°)
5.377300000000000e-02	4.284699191856546e+04	2.252193960256142e+01
5.332100000000000e-02	4.286495815614738e+04	2.252554923667075e+01
5.289000000000000e-02	4.288308006636223e+04	2.254296715364273e+01
5.232900000000000e-02	4.290097777819185e+04	2.257373498724125e+01
5.176900000000000e-02	4.291892430602561e+04	2.261670682187606e+01
5.118800000000000e-02	4.293688114709969e+04	2.267056485461836e+01
5.051200000000000e-02	4.295469366010517e+04	2.273393398675983e+01
4.981000000000000e-02	4.297254404562092e+04	2.280503804913556e+01
4.915000000000000e-02	4.299023766988391e+04	2.288198628102164e+01
4.832300000000000e-02	4.300800027826544e+04	2.296283062591460e+01
4.754800000000000e-02	4.302562365790275e+04	2.304550843575197e+01
4.671900000000000e-02	4.304314751477104e+04	2.312812894980984e+01
4.584200000000000e-02	4.306074041305365e+04	2.320885870314377e+01
4.494000000000000e-02	4.307820479690282e+04	2.328609341392740e+01
4.399300000000000e-02	4.309557618970183e+04	2.335805691299583e+01
4.306500000000000e-02	4.311300596690016e+04	2.342337410164075e+01
4.207400000000000e-02	4.313027909743731e+04	2.348038340225627e+01
4.102500000000000e-02	4.314759984076724e+04	2.352759512457505e+01
4.005900000000000e-02	4.316477998025424e+04	2.356369146566829e+01
3.901000000000000e-02	4.318203185405718e+04	2.358746921416622e+01
3.790500000000000e-02	4.319914914007406e+04	2.359778245447857e+01
3.690600000000000e-02	4.321623040464571e+04	2.359388634147168e+01
3.576400000000000e-02	4.323335554018437e+04	2.357520791735042e+01
3.470900000000000e-02	4.325039948760347e+04	2.354163259055575e+01
3.358000000000000e-02	4.326739123856743e+04	2.349367602310330e+01
3.246500000000000e-02	4.328437313465730e+04	2.343219765168577e+01
3.137100000000000e-02	4.330141725396374e+04	2.335857257501145e+01
3.017400000000000e-02	4.331828770976247e+04	2.327474884958382e+01
2.906800000000000e-02	4.333524588539963e+04	2.318278912346532e+01
2.791300000000000e-02	4.335216905331552e+04	2.308521441095454e+01
2.670100000000000e-02	4.336907130827187e+04	2.298494679680664e+01
2.556100000000000e-02	4.338593517505597e+04	2.288473647843826e+01
2.439200000000000e-02	4.340272243738284e+04	2.278773472372261e+01
2.317100000000000e-02	4.341967133110372e+04	2.269686361741487e+01
2.202100000000000e-02	4.343630928062919e+04	2.261515983582921e+01
2.083700000000000e-02	4.345300452593416e+04	2.254543087216179e+01
1.968100000000000e-02	4.346972549704414e+04	2.249071340272680e+01
1.849900000000000e-02	4.348608642147566e+04	2.245318466714573e+01
1.735500000000000e-02	4.350237555429545e+04	2.243525108815813e+01
1.626300000000000e-02	4.351868107370818e+04	2.243845965181086e+01
1.509500000000000e-02	4.353427194286304e+04	2.246344061167857e+01
1.404000000000000e-02	4.354998118509838e+04	2.251025126354076e+01
1.299100000000000e-02	4.356490010695122e+04	2.257808946648425e+01
1.195600000000000e-02	4.357959057293103e+04	2.266483527666705e+01
1.097000000000000e-02	4.359351636943746e+04	2.276796767979060e+01
1.011900000000000e-02	4.360639359588303e+04	2.288393433752508e+01
9.232000000000001e-03	4.361896927464101e+04	2.300866724952506e+01
8.545000000000001e-03	4.362983541922567e+04	2.313815571122463e+01
7.956000000000000e-03	4.363958039999681e+04	2.326787335604224e+01
7.514000000000000e-03	4.364875110516990e+04	2.339358029629395e+01
7.295000000000000e-03	4.365631156975555e+04	2.351149501053187e+01
7.265000000000000e-03	4.366370879866537e+04	2.361777868152864e+01
7.463000000000000e-03	4.367155442434565e+04	2.370905085829298e+01
7.868000000000000e-03	4.367970778565770e+04	2.378261863918777e+01
8.392999999999999e-03	4.368872705808553e+04	2.383601830569397e+01
9.147000000000001e-03	4.369959389021954e+04	2.386718720974909e+01
9.901999999999999e-03	4.371068016518909e+04	2.387503673154238e+01
1.080900000000000e-02	4.372315288343129e+04	2.385853554704261e+01
1.176400000000000e-02	4.373639938117582e+04	2.381756906469075e+01
1.274200000000000e-02	4.375019099096663e+04	2.375293942540000e+01
1.371100000000000e-02	4.376473059715899e+04	2.366584984054012e+01
1.482800000000000e-02	4.377947916105923e+04	2.355859214129163e+01
1.580400000000000e-02	4.379506155043872e+04	2.343426029974824e+01
1.685800000000000e-02	4.381071229368318e+04	2.329634935846025e+01
1.795200000000000e-02	4.382669162822315e+04	2.314927109245016e+01
1.896100000000000e-02	4.384323389379682e+04	2.299806753031514e+01
2.002600000000000e-02	4.385979970793588e+04	2.284732233441622e+01
2.105800000000000e-02	4.387660897184209e+04	2.270242130802763e+01
2.210500000000000e-02	4.389386124671550e+04	2.256823459240800e+01
2.313500000000000e-02	4.391103789115995e+04	2.244894477946176e+01
2.412300000000000e-02	4.392849094804486e+04	2.234856257375484e+01
2.516500000000000e-02	4.394607513736898e+04	2.227052572205802e+01
2.614400000000000e-02	4.396372642005091e+04	2.221683957665426e+01
2.707900000000000e-02	4.398154890252203e+04	2.218962408138555e+01
2.808100000000000e-02	4.399923954740449e+04	2.218962408138555e+01
2.896700000000000e-02	4.401718418447753e+04	2.221649580197719e+01
2.985400000000000e-02	4.403505044092420e+04	2.226966628536533e+01
3.073300000000000e-02	4.405288988294605e+04	2.234730206660555e+01
3.154000000000000e-02	4.407077046333760e+04	2.244659565250172e+01
3.237400000000000e-02	4.408867997809780e+04	2.256445307096013e+01
3.305300000000000e-02	4.410642385075943e+04	2.269686361741487e+01
3.385100000000000e-02	4.412422748291909e+04	2.283912903794585e+01
3.449800000000000e-02	4.414202108831733e+04	2.298672296597155e+01
3.510700000000000e-02	4.415966228694207e+04	2.313506173913092e+01
3.575100000000000e-02	4.417739676309585e+04	2.327938980772437e+01
3.630800000000000e-02	4.419498908842067e+04	2.341598294608356e+01
3.681200000000000e-02	4.421265841927315e+04	2.354111692854013e+01
3.731900000000000e-02	4.423020536634059e+04	2.365169778300038e+01
