# Orbital parameters time-series from Laskar et al., 2004. Time-step = 1kyr
# eccentricity    	precession (°)   	obliquity (°)
4.425900000000000e-02	8.592350104687353e+04	2.222623608449441e+01
4.427600000000000e-02	8.594130536658254e+04	2.227596882111176e+01
4.418700000000000e-02	8.595913300567381e+04	2.235211491208465e+01
4.415700000000000e-02	8.597674549911302e+04	2.245180956843741e+01
4.406100000000000e-02	8.599445774450435e+04	2.257178693073781e+01
4.395500000000000e-02	8.601203511563072e+04	2.270838006909700e+01
4.380900000000000e-02	8.602950580201561e+04	2.285654695491782e+01
4.363900000000000e-02	8.604693531033516e+04	2.301147474272120e+01
4.350600000000000e-02	8.606427994600513e+04	2.316852247436656e+01
4.322400000000000e-02	8.608153657535778e+04	2.332230434657967e+01
4.303600000000000e-02	8.609872175687338e+04	2.346846588011755e+01
4.279300000000000e-02	8.611583520407302e+04	2.360288177885523e+01
4.247800000000000e-02	8.613293318141220e+04	2.372159863400634e+01
4.221800000000000e-02	8.614995289271655e+04	2.382169436081570e+01
4.187700000000000e-02	8.616688184750617e+04	2.390076253654375e+01
4.156600000000000e-02	8.618395312501209e+04	2.395662592156901e+01
4.119300000000000e-02	8.620084363433365e+04	2.398848237497828e+01
4.081000000000000e-02	8.621780776873189e+04	2.399587353053547e+01
4.047600000000000e-02	8.623481659383814e+04	2.397862750090203e+01
4.001800000000000e-02	8.625179808885757e+04	2.393789020166823e+01
3.957900000000000e-02	8.626883487430423e+04	2.387492213998335e+01
3.922900000000000e-02	8.628590729772573e+04	2.379149948501230e+01
3.866100000000000e-02	8.630308102008543e+04	2.369031513839220e+01
3.824100000000000e-02	8.632026677455881e+04	2.357423388909869e+01
3.772800000000000e-02	8.633751309067116e+04	2.344634970922550e+01
3.719800000000000e-02	8.635492304352978e+04	2.331055871177949e+01
3.667000000000000e-02	8.637236565498271e+04	2.317052782664951e+01
3.608300000000000e-02	8.638981399601362e+04	2.303003857528344e+01
3.554000000000000e-02	8.640751382582090e+04	2.289310166224718e+01
3.491700000000000e-02	8.642513107480980e+04	2.276344131320907e+01
3.425300000000000e-02	8.644291677339048e+04	2.264409420448332e+01
3.365800000000000e-02	8.646073175011447e+04	2.253855537862022e+01
3.294500000000000e-02	8.647865346887571e+04	2.244894477946176e+01
3.223800000000000e-02	8.649662314420441e+04	2.237743964662943e+01
3.154900000000000e-02	8.651459006933567e+04	2.232547237461107e+01
3.079300000000000e-02	8.653264568833362e+04	2.229401699165838e+01
3.003600000000000e-02	8.655079349624083e+04	2.228330268088944e+01
2.924500000000000e-02	8.656871641821343e+04	2.229338673808374e+01
2.848400000000000e-02	8.658691298482899e+04	2.232340972654859e+01
2.763300000000000e-02	8.660495152968464e+04	2.237205384335520e+01
2.680000000000000e-02	8.662291656405521e+04	2.243777210245671e+01
2.593800000000000e-02	8.664098919989968e+04	2.251838726423161e+01
2.509500000000000e-02	8.665888725550396e+04	2.261132101860183e+01
2.413300000000000e-02	8.667687131207332e+04	2.271422423860733e+01
2.325200000000000e-02	8.669465540637216e+04	2.282411754371342e+01
2.232900000000000e-02	8.671247937853355e+04	2.293819344072397e+01
2.132800000000000e-02	8.673033302990871e+04	2.305398821111991e+01
2.039100000000000e-02	8.674794569523525e+04	2.316875165748461e+01
1.939600000000000e-02	8.676561676256121e+04	2.328019194863756e+01
1.841400000000000e-02	8.678339999742337e+04	2.338613184495725e+01
1.738600000000000e-02	8.680081155456381e+04	2.348456599416072e+01
1.638000000000000e-02	8.681841677143904e+04	2.357343174818551e+01
1.539600000000000e-02	8.683602554065257e+04	2.365129671254379e+01
1.432500000000000e-02	8.685336542077284e+04	2.371644201385017e+01
1.332100000000000e-02	8.687093860930730e+04	2.376749255339632e+01
