# Orbital parameters time-series from Laskar et al., 2004. Time-step = 1kyr
# eccentricity    	precession (°)   	obliquity (°)
6.018600000000000e-02	1.723010211073690e+03	2.327056625767936e+01
6.039500000000000e-02	1.740685214208342e+03	2.318932084232981e+01
6.056600000000000e-02	1.758365889625166e+03	2.310354906039872e+01
6.064400000000000e-02	1.776159609614969e+03	2.301519896838955e+01
6.070000000000000e-02	1.793931098842321e+03	2.292679158060087e+01
6.069400000000000e-02	1.811793935142312e+03	2.284090520711075e+01
6.059500000000000e-02	1.829781028387971e+03	2.276000356643828e+01
6.045400000000000e-02	1.847703205515443e+03	2.268689415177959e+01
6.028000000000000e-02	1.865734932173344e+03	2.262398338587423e+01
5.998900000000000e-02	1.883871853882430e+03	2.257327662100515e+01
5.966700000000000e-02	1.901921514119319e+03	2.253637813899872e+01
5.927700000000000e-02	1.920132232792418e+03	2.251454844700424e+01
5.888400000000000e-02	1.938268295064812e+03	2.250847509437585e+01
5.833200000000000e-02	1.956480961794415e+03	2.251844456001113e+01
5.779400000000000e-02	1.974663490943994e+03	2.254451413968958e+01
5.724900000000000e-02	1.992831008599341e+03	2.258611087561608e+01
5.652200000000000e-02	2.011023793693453e+03	2.264220344375939e+01
5.587700000000000e-02	2.029139000302104e+03	2.271176052008827e+01
5.506600000000000e-02	2.047214042569317e+03	2.279294863965831e+01
5.429600000000000e-02	2.065327702191921e+03	2.288393433752508e+01
5.342400000000000e-02	2.083291017689083e+03	2.298242578250807e+01
5.245900000000000e-02	2.101242071889430e+03	2.308567277719064e+01
5.155300000000000e-02	2.119154164959707e+03	2.319063864525861e+01
5.047900000000000e-02	2.136998935489056e+03	2.329457318929534e+01
4.937700000000000e-02	2.154805547029250e+03	2.339415325408908e+01
4.832100000000000e-02	2.172493803089063e+03	2.348668593800270e+01
4.707000000000000e-02	2.190285403135025e+03	2.356987940985570e+01
4.587100000000000e-02	2.207910387054162e+03	2.364115535956998e+01
4.463300000000000e-02	2.225506379308866e+03	2.369879491376014e+01
4.329200000000000e-02	2.243179033316558e+03	2.374130838215885e+01
4.198100000000000e-02	2.260740819990893e+03	2.376737796183729e+01
4.055100000000000e-02	2.278323806103647e+03	2.377625880766183e+01
3.920600000000000e-02	2.295893671482892e+03	2.376754984917584e+01
3.775400000000000e-02	2.313517910556896e+03	2.374085001592274e+01
3.625400000000000e-02	2.331068811033123e+03	2.369627389946156e+01
3.485700000000000e-02	2.348704451967250e+03	2.363456634492597e+01
3.332000000000000e-02	2.366297121066742e+03	2.355647219744964e+01
3.182500000000000e-02	2.383969775074434e+03	2.346365303463845e+01
3.029600000000000e-02	2.401563761976855e+03	2.335845798345243e+01
2.877500000000000e-02	2.419248505394024e+03	2.324317887507210e+01
2.720900000000000e-02	2.437014723409661e+03	2.312096697737070e+01
2.563100000000000e-02	2.454577655999586e+03	2.299531733289851e+01
2.405100000000000e-02	2.472362208664667e+03	2.286972498420583e+01
2.248000000000000e-02	2.490112498453600e+03	2.274791415696102e+01
2.080500000000000e-02	2.507730721470754e+03	2.263349448527340e+01
1.922700000000000e-02	2.525451808012229e+03	2.252950264545715e+01
1.758400000000000e-02	2.543087105171679e+03	2.243897531382648e+01
1.592000000000000e-02	2.560686019511137e+03	2.236431891312094e+01
1.430200000000000e-02	2.578189708265045e+03	2.230753879562347e+01
1.267500000000000e-02	2.595276283744098e+03	2.227041113049899e+01
1.104100000000000e-02	2.612817730416706e+03	2.225431101645582e+01
9.449000000000001e-03	2.629105087067330e+03	2.225963952395054e+01
7.894999999999999e-03	2.645254131706211e+03	2.228696961077828e+01
6.375000000000000e-03	2.660477391139719e+03	2.233595750226196e+01
4.888000000000000e-03	2.672964834397256e+03	2.240557187437036e+01
3.512000000000000e-03	2.681579770509064e+03	2.249420844527710e+01
2.420000000000000e-03	2.680784906159879e+03	2.259980456691970e+01
1.910000000000000e-03	2.658851967170712e+03	2.271897978830692e+01
2.424000000000000e-03	2.640594896211986e+03	2.284841095422697e+01
3.530000000000000e-03	2.640621997115696e+03	2.298408736011395e+01
4.772000000000000e-03	2.648695087040649e+03	2.312199830140194e+01
6.112000000000000e-03	2.661611732982518e+03	2.325824766508405e+01
7.437000000000000e-03	2.676480503428179e+03	2.338922581705095e+01
8.751999999999999e-03	2.691486096195317e+03	2.351149501053187e+01
1.007000000000000e-02	2.707942819170183e+03	2.362230504811017e+01
1.140900000000000e-02	2.724131741671604e+03	2.371947869016436e+01
1.266700000000000e-02	2.740781551423428e+03	2.380078140129342e+01
1.392300000000000e-02	2.757397785848459e+03	2.386500997012759e+01
1.521900000000000e-02	2.774083806532935e+03	2.391078929795854e+01
1.634800000000000e-02	2.791101627076572e+03	2.393680158185748e+01
1.756800000000000e-02	2.807779798239256e+03	2.394258845558830e+01
1.869500000000000e-02	2.824718722494504e+03	2.392734777823782e+01
1.975900000000000e-02	2.841804839607320e+03	2.389107954980604e+01
2.084000000000000e-02	2.858781178006590e+03	2.383435672808809e+01
2.181100000000000e-02	2.875881217993829e+03	2.375809604555618e+01
2.284200000000000e-02	2.893175565569490e+03	2.366378719247765e+01
2.372200000000000e-02	2.910415865624976e+03	2.355372200003301e+01
2.462300000000000e-02	2.927842376963880e+03	2.343076525719794e+01
2.555200000000000e-02	2.945317360532252e+03	2.329801093606613e+01
2.633800000000000e-02	2.962944120620555e+03	2.315941244542398e+01
2.714000000000000e-02	2.980649891588806e+03	2.301852212360131e+01
2.798200000000000e-02	2.998356350106410e+03	2.287906419626647e+01
2.869800000000000e-02	3.016351865831659e+03	2.274482018486732e+01
2.947500000000000e-02	3.034235769378416e+03	2.261922783617464e+01
3.014400000000000e-02	3.052230597554310e+03	2.250543841806166e+01
3.087900000000000e-02	3.070376743883898e+03	2.240660319840159e+01
3.153600000000000e-02	3.088528276016761e+03	2.232512859993399e+01
3.214400000000000e-02	3.106611225101546e+03	2.226319186228035e+01
3.282300000000000e-02	3.124892245696109e+03	2.222274104194411e+01
3.334200000000000e-02	3.143059018506321e+03	2.220503664607457e+01
3.390400000000000e-02	3.161315631098811e+03	2.221070892824636e+01
3.442900000000000e-02	3.179481257993433e+03	2.224027355047511e+01
3.487800000000000e-02	3.197693982018816e+03	2.229275648450909e+01
3.530900000000000e-02	3.215924926102084e+03	2.236678263164000e+01
3.569500000000000e-02	3.234018646793417e+03	2.246011745646681e+01
3.605500000000000e-02	3.252149111679513e+03	2.256983887423436e+01
3.638700000000000e-02	3.270296289333133e+03	2.269239454661285e+01
3.660600000000000e-02	3.288261839365696e+03	2.282423213527245e+01
3.692000000000000e-02	3.306324792223431e+03	2.296128363986774e+01
3.712000000000000e-02	3.324290055777096e+03	2.309930917271475e+01
3.728800000000000e-02	3.342200888340224e+03	2.323492828282222e+01
3.745600000000000e-02	3.360129196116104e+03	2.336435944874227e+01
3.763700000000000e-02	3.377948641910908e+03	2.348433681104267e+01
3.770700000000000e-02	3.395891731997903e+03	2.359256853854288e+01
3.782900000000000e-02	3.413574756541687e+03	2.368618984226726e+01
3.790500000000000e-02	3.431418266563887e+03	2.376302348259430e+01
3.792900000000000e-02	3.449237769654471e+03	2.382146517769765e+01
3.797300000000000e-02	3.466919762874224e+03	2.385985334997141e+01
3.791500000000000e-02	3.484729124611834e+03	2.387709937960485e+01
3.791800000000000e-02	3.502508463360980e+03	2.387303137925942e+01
3.778300000000000e-02	3.520328711296698e+03	2.384742016581707e+01
3.765700000000000e-02	3.538206541490827e+03	2.380083869707294e+01
3.755500000000000e-02	3.556082939290467e+03	2.373500584641241e+01
3.729200000000000e-02	3.574158554515475e+03	2.365135400832330e+01
3.709100000000000e-02	3.592228783937208e+03	2.355274797178129e+01
3.683700000000000e-02	3.610345841610898e+03	2.344210982154153e+01
3.653300000000000e-02	3.628761564583095e+03	2.332270541703626e+01
3.620500000000000e-02	3.647081718195065e+03	2.319791520925677e+01
3.584200000000000e-02	3.665614954811043e+03	2.307140612809188e+01
3.549000000000000e-02	3.684312343835326e+03	2.294650132875337e+01
3.508200000000000e-02	3.703000622830668e+03	2.282675314957102e+01
3.460500000000000e-02	3.721948337115644e+03	2.271565663309516e+01
3.423300000000000e-02	3.740868950496911e+03	2.261607656830142e+01
3.372000000000000e-02	3.760062234492881e+03	2.253093503994498e+01
