# Orbital parameters time-series from Laskar et al., 2004. Time-step = 1kyr
# eccentricity    	precession (°)   	obliquity (°)
3.290600000000000e-02	1.281950289780167e+05	2.265354800810297e+01
3.294900000000000e-02	1.282128287140634e+05	2.265435014901616e+01
3.294600000000000e-02	1.282306923922000e+05	2.266947623480761e+01
3.304100000000000e-02	1.282484496720740e+05	2.269892626547734e+01
3.295100000000000e-02	1.282664408906158e+05	2.274212728323020e+01
3.292700000000000e-02	1.282842568986638e+05	2.279781878091692e+01
3.285600000000000e-02	1.283020722764583e+05	2.286462565982917e+01
3.274700000000000e-02	1.283200034490231e+05	2.294037068034547e+01
3.260900000000000e-02	1.283378283379170e+05	2.302253282816723e+01
3.240200000000000e-02	1.283555684863529e+05	2.310853379321636e+01
3.223800000000000e-02	1.283734684900138e+05	2.319539419495819e+01
3.195300000000000e-02	1.283911986116883e+05	2.328007735707853e+01
3.164100000000000e-02	1.284090055670032e+05	2.335989037794025e+01
3.136000000000000e-02	1.284267659408493e+05	2.343191117278820e+01
3.096400000000000e-02	1.284445749588122e+05	2.349356143154428e+01
3.055400000000000e-02	1.284623756688871e+05	2.354283580192553e+01
3.013900000000000e-02	1.284801801031877e+05	2.357772893164899e+01
2.964200000000000e-02	1.284980202327589e+05	2.359686572200636e+01
2.917800000000000e-02	1.285160064092721e+05	2.359944403208445e+01
2.858100000000000e-02	1.285338385350343e+05	2.358494819986764e+01
2.806900000000000e-02	1.285518829240594e+05	2.355337822535594e+01
2.746200000000000e-02	1.285700495249823e+05	2.350553624946251e+01
2.681100000000000e-02	1.285880884709084e+05	2.344233900465958e+01
2.619000000000000e-02	1.286064357827199e+05	2.336556266011205e+01
2.552900000000000e-02	1.286247178919343e+05	2.327767093433898e+01
2.479500000000000e-02	1.286432621293399e+05	2.318112754585944e+01
2.409400000000000e-02	1.286617710152496e+05	2.307925564988518e+01
2.336400000000000e-02	1.286804304744679e+05	2.297566488052552e+01
2.257000000000000e-02	1.286994177228407e+05	2.287367839299224e+01
2.180200000000000e-02	1.287182385842698e+05	2.277736418763075e+01
2.097800000000000e-02	1.287373965167698e+05	2.269016001121183e+01
2.019500000000000e-02	1.287567632923862e+05	2.261510254004970e+01
1.932600000000000e-02	1.287761294377489e+05	2.255511385889950e+01
1.847900000000000e-02	1.287958057251662e+05	2.251254309472128e+01
1.768600000000000e-02	1.288155998700019e+05	2.248870805044384e+01
1.677500000000000e-02	1.288356807802141e+05	2.248486923321646e+01
1.596600000000000e-02	1.288559899568119e+05	2.250119853037769e+01
1.513800000000000e-02	1.288763006803957e+05	2.253723757569142e+01
1.434300000000000e-02	1.288973770650812e+05	2.259212693246495e+01
1.354300000000000e-02	1.289183150628592e+05	2.266403313575387e+01
1.281400000000000e-02	1.289395479620142e+05	2.275043517125960e+01
1.213900000000000e-02	1.289616259739171e+05	2.284892661624259e+01
1.148600000000000e-02	1.289834221478806e+05	2.295601242815254e+01
1.090300000000000e-02	1.290062081637309e+05	2.306814026865964e+01
1.042800000000000e-02	1.290288261310600e+05	2.318187239099311e+01
1.002100000000000e-02	1.290522270452160e+05	2.329336997792557e+01
9.690000000000001e-03	1.290759197667772e+05	2.339896609956818e+01
9.488000000000000e-03	1.290993729346841e+05	2.349579596694529e+01
9.393000000000000e-03	1.291234974372397e+05	2.358082290374270e+01
9.417000000000000e-03	1.291473600980829e+05	2.365164048722087e+01
9.469999999999999e-03	1.291708968605322e+05	2.370652984399440e+01
9.734000000000000e-03	1.291943243026341e+05	2.374405857957547e+01
1.002600000000000e-02	1.292172933785000e+05	2.376336725727138e+01
1.037800000000000e-02	1.292400621086251e+05	2.376439858130261e+01
1.082500000000000e-02	1.292620180805176e+05	2.374715255166918e+01
1.134300000000000e-02	1.292835680545165e+05	2.371231671772522e+01
1.188300000000000e-02	1.293052522152310e+05	2.366109429084053e+01
1.244300000000000e-02	1.293256586227666e+05	2.359480307394389e+01
1.306100000000000e-02	1.293463865169210e+05	2.351539112353876e+01
1.369000000000000e-02	1.293664765944580e+05	2.342509297502614e+01
1.429100000000000e-02	1.293863523857795e+05	2.332631505114559e+01
1.489200000000000e-02	1.294060892921315e+05	2.322186484509324e+01
1.554200000000000e-02	1.294253658841909e+05	2.311460714584475e+01
1.608200000000000e-02	1.294449089589208e+05	2.300723485503723e+01
1.667500000000000e-02	1.294640136063458e+05	2.290307112788245e+01
1.720900000000000e-02	1.294829943802956e+05	2.280463697867897e+01
1.776000000000000e-02	1.295021958002922e+05	2.271451071750489e+01
1.825200000000000e-02	1.295210289803140e+05	2.263492687976122e+01
1.871600000000000e-02	1.295398486958275e+05	2.256789081773092e+01
1.923800000000000e-02	1.295587244466134e+05	2.251449115122472e+01
1.963700000000000e-02	1.295773541120263e+05	2.247593109161242e+01
2.006000000000000e-02	1.295960650228546e+05	2.245272630090962e+01
2.049400000000000e-02	1.296145216726135e+05	2.244499137067536e+01
2.085600000000000e-02	1.296330327357628e+05	2.245261170935060e+01
2.120500000000000e-02	1.296514966444855e+05	2.247524354225826e+01
2.155200000000000e-02	1.296695971260789e+05	2.251202743270566e+01
2.186200000000000e-02	1.296879831125415e+05	2.256204664822058e+01
2.215900000000000e-02	1.297060177039883e+05	2.262421256899228e+01
2.240800000000000e-02	1.297240224443341e+05	2.269686361741487e+01
2.265700000000000e-02	1.297419350530664e+05	2.277851010322101e+01
2.292300000000000e-02	1.297597682498483e+05	2.286726126568677e+01
2.302400000000000e-02	1.297775039865092e+05	2.296099716097018e+01
2.327800000000000e-02	1.297950465218016e+05	2.305788432412680e+01
2.339800000000000e-02	1.298126575828463e+05	2.315586010709417e+01
2.348900000000000e-02	1.298301204197094e+05	2.325274727025079e+01
2.362200000000000e-02	1.298474324540809e+05	2.334688423599079e+01
2.368300000000000e-02	1.298647446030439e+05	2.343626565203120e+01
2.372900000000000e-02	1.298820817902625e+05	2.351911534920711e+01
2.376400000000000e-02	1.298991227583011e+05	2.359388634147168e+01
2.376400000000000e-02	1.299163155028596e+05	2.365914623433709e+01
2.379600000000000e-02	1.299333922234646e+05	2.371311885863841e+01
2.371300000000000e-02	1.299503909072179e+05	2.375477289034442e+01
2.369700000000000e-02	1.299673798109929e+05	2.378284782230583e+01
2.366800000000000e-02	1.299843355229116e+05	2.379625503471189e+01
2.355200000000000e-02	1.300012306158955e+05	2.379424968242893e+01
2.349500000000000e-02	1.300181703995874e+05	2.377648799077988e+01
2.338300000000000e-02	1.300348505761024e+05	2.374262618508764e+01
