  0      0      0      0      0      2.55   0      0      7.39   0     21.95   0      0     36.56   0      3.32   0      0      0      0      0      0      0      0      0      0      0      0      0   
  0      0      0      0      0      0      0      0      0      7.81  28.09   0      0      0.41   0      0      0      0      0      0      0      0      0      0      2.60   0.61   0      0      0   
  0      0      0      0      0      0      0      0      0      0      0     24.17  12.80   0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0   
  0      0      0      0      0      0      1.18   4.62   0      6.02  14.79   0      0      0      0      0.26   0      0      0      0      0      0      0      0      0      0      6.89   2.11   0   
  0      0      0      0      0      0      0      0      6.78   0      0      5.76   0      0      0.92   0      0      0      0      0      0      0      0      0      0      0      0      0      0   
  8.28   0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0.79   0.77   0      0      0      1.16   0      0      0      0      0      0   
  0      3.76   0      0      0      0      0      0      0      0      0      0      0      0      0      0      0.45   0      0      0.52   0      0      0      0.15   0      0      0      0      0   
  0      0      0     23.48   0      0      0      0      0      0.13   0      0      0      0      0      0      2.02   0      0      1.99   0      0      6.48   0      0      0      0      0      0   
  0      0      0      0      5.03   0      0      0      0      0      0.02   0      0      0      0      0      0      0.36   0.28   0      0      0      0      0      0      0      0      0      0   
  0      0      0      0      0      0      8.82   0      0      1.01   0      0      0      0      0.08   0      0      0      0      0      0      0.07   0.69   0      0      0      0      0      0   
  0      0      0      0      0      0      0      2.20   0      0      0.57   0      0      0      0.08   0      0      0      0      0      1.14   0      0      0.11   0      0      0      0      0   
  0      0      0      1.35   0      0      0.03   0      0    131.88   0      0      0      0      0      0      0.22   0      4.49   0      0.03   0      0      5.02   0      0      0      0      0   
  0      0      0      0      0.57   0      0      0.02   0      0     43.20   0      0      0      0      0      0      0      0      0.76   0      0      0.81   0      0      0      0      0      0   
  0      0      0      0      0      0      0      0      0      0.07   0      0      2.78   0      0.23   0      0      0      0      0      0      0      0      0      0      0.01   0.09   0      0   
  0      0      0      0      0      0      0      0      0      0      0.01   0      0.25   0      0.06   0      0      0      0      0      0      0      0      0      0.38   0      0      0.02   0   
  0      0      0      0      0      0      0      0      0      0      0      0      0      0      7.12   0      0      0      0      0      0      0      0      0      0      0      0      0.07   0   
  0      0      0      0      0      0      0      0      0      0      0      0      0      0      2.00   0      0      0      0      0      0      0      0      0      0      0      0.20   0      0   
  0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0   
